Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
388,1,2,1,3,2,1,1,1,1,1,B,,,,,,,
389,1,2,1,3,2,1,1,1,1,2,,,,,,,,
390,1,2,1,3,2,1,1,1,1,3,,,,,,,,
391,1,2,1,3,2,1,1,1,2,1,B,,,,,,,
392,1,2,1,3,2,1,1,1,2,2,,,,,,,,
393,1,2,1,3,2,1,1,1,2,3,,,,,,,,
394,1,2,1,3,2,1,1,1,3,1,B,,,,,,,
395,1,2,1,3,2,1,1,1,3,2,,,,,,,,
396,1,2,1,3,2,1,1,1,3,3,,,,,,,,
397,1,2,1,3,3,1,1,1,1,1,B,,,,,,,
398,1,2,1,3,3,1,1,1,1,2,,,,,,,,
399,1,2,1,3,3,1,1,1,1,3,,,,,,,,
400,1,2,1,3,3,1,1,1,2,1,B,,,,,,,
401,1,2,1,3,3,1,1,1,2,2,,,,,,,,
402,1,2,1,3,3,1,1,1,2,3,,,,,,,,
403,1,2,1,3,3,1,1,1,3,1,B,,,,,,,
404,1,2,1,3,3,1,1,1,3,2,,,,,,,,
405,1,2,1,3,3,1,1,1,3,3,,,,,,,,
406,1,2,1,4,1,1,1,1,1,1,,,,,,,,
407,1,2,1,4,1,1,1,1,1,2,A,,,,,,,
408,1,2,1,4,1,1,1,1,1,3,A,,,,,,,
409,1,2,1,4,1,1,1,1,2,1,,,,,,,,
410,1,2,1,4,1,1,1,1,2,2,A,,,,,,,
411,1,2,1,4,1,1,1,1,2,3,A,,,,,,,
412,1,2,1,4,1,1,1,1,3,1,,,,,,,,
413,1,2,1,4,1,1,1,1,3,2,A,,,,,,,
414,1,2,1,4,1,1,1,1,3,3,A,,,,,,,
415,1,2,1,4,2,1,1,1,1,1,B,,,,,,,
416,1,2,1,4,2,1,1,1,1,2,,,,,,,,
417,1,2,1,4,2,1,1,1,1,3,,,,,,,,
418,1,2,1,4,2,1,1,1,2,1,B,,,,,,,
419,1,2,1,4,2,1,1,1,2,2,,,,,,,,
420,1,2,1,4,2,1,1,1,2,3,,,,,,,,
421,1,2,1,4,2,1,1,1,3,1,B,,,,,,,
422,1,2,1,4,2,1,1,1,3,2,,,,,,,,
423,1,2,1,4,2,1,1,1,3,3,,,,,,,,
424,1,2,1,4,3,1,1,1,1,1,B,,,,,,,
425,1,2,1,4,3,1,1,1,1,2,,,,,,,,
426,1,2,1,4,3,1,1,1,1,3,,,,,,,,
427,1,2,1,4,3,1,1,1,2,1,B,,,,,,,
428,1,2,1,4,3,1,1,1,2,2,,,,,,,,
429,1,2,1,4,3,1,1,1,2,3,,,,,,,,
430,1,2,1,4,3,1,1,1,3,1,B,,,,,,,
431,1,2,1,4,3,1,1,1,3,2,,,,,,,,
432,1,2,1,4,3,1,1,1,3,3,,,,,,,,
433,1,2,2,1,1,1,1,1,1,1,,,,,,,,
434,1,2,2,1,1,1,1,1,1,2,A,,,,,,,
435,1,2,2,1,1,1,1,1,1,3,A,,,,,,,
